RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-06-01 00:03:53,0,Bx36,W 179 ST/BROADWAY,40.849113,-73.937752,SOUNDVIEW PUGSLEY AV,40.820507,-73.851631,NYCT_7766,40.84745,-73.887448,E 180 ST/PROSPECT AV,approaching,113,2017-06-01 00:04:35,24:01:16
2017-06-01 00:03:47,0,M96,W 96 ST/WEST END AV,40.794933,-73.972687,EAST SIDE 1 AV CROSSTOWN,40.784222,-73.94474,NYCT_6678,40.783676,-73.944412,E 97 ST/1 AV,approaching,86,2017-06-01 00:04:13,24:06:00
2017-06-01 00:03:35,1,Q4,235 ST/LINDEN BL,40.69054,-73.727448,JAMAICA PRSNS - ARCHR via LINDEN,40.701683,-73.802475,NYCT_8408,40.695912,-73.782591,MERRICK BL/110 AV,approaching,53,2017-06-01 00:03:56,24:00:37
2017-06-01 00:03:53,1,Q54,JAMAICA AV/170 ST,40.707287,-73.789581,WILLAMSBURG BRIDGE PLZ,40.709476,-73.959534,NYCT_3988,40.709274,-73.960021,WASHINGTON PLZ/BAY 3,approaching,62,2017-06-01 00:04:10,23:46:00
2017-06-01 00:03:41,0,B6,HARWAY AV/BAY 37 ST,40.59351,-73.993996,EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_7158,40.645676,-73.901474,GLENWOOD RD/E 98 ST,at stop,4,2017-06-01 00:03:56,24:05:00
2017-06-01 00:03:36,0,B4,NARROWS AV/77 ST,40.631836,-74.036377,SHEEPSHEAD BAY KNAPP ST,40.586628,-73.931702,NYCT_445,40.585739,-73.937214,SHORE PKY/BROWN ST,at stop,25,2017-06-01 00:03:56,24:01:49
2017-06-01 00:03:32,1,M101,ST NICHOLAS AV/W 192 ST,40.856289,-73.928764,EAST VILLAGE 6 ST via LEX AV,40.729115,-73.990257,NYCT_5642,40.752234,-73.975473,LEXINGTON AV/E 42 ST,< 1 stop away,178,2017-06-01 00:04:33,23:55:00
2017-06-01 00:03:53,0,Bx5,SOUTHERN BL/WESTCHESTER AV,40.823673,-73.891945,WHITE PLAINS RD,40.823059,-73.855736,NYCT_1280,40.823108,-73.85593,TURNBULL AV/ PUGSLEY AV,at stop,14,2017-06-01 00:03:56,24:02:00
2017-06-01 00:03:45,0,Q12,ROOSEVELT AV/LAYOVER,40.758999,-73.831757,LITTLE NECK GLENWOOD ST VIA NORTHERN,40.771767,-73.733307,NYCT_7379,40.759866,-73.828936,ROOSEVELT AV/MAIN ST,approaching,106,2017-06-01 00:06:12,24:05:00
2017-06-01 00:03:32,1,B43,BOX ST/MANHATTAN AV,40.737194,-73.955673,LEFRTS GDNS PROSPCT PK STA,40.660858,-73.96138,NYCT_342,40.721454,-73.947169,GRAHAM AV/ENGERT AV,approaching,50,2017-06-01 00:03:56,24:05:23
2017-06-01 00:03:45,1,M100,BROADWAY/W 219 ST,40.871967,-73.91304,E HARLM 1 AV-125 ST via BDWY via AMSTRDM,40.802273,-73.931145,NYCT_4394,40.804815,-73.938466,E 125 ST/LEXINGTON AV,approaching,136,2017-06-01 00:04:52,24:00:36
2017-06-01 00:03:35,1,M11,BROADWAY/W 133 ST,40.818493,-73.95594,WEST VILL ABINGDON SQ via 9 AV,40.737072,-74.005867,NYCT_6372,40.77347,-73.981669,COLUMBUS AV/W 66 ST,at stop,12,2017-06-01 00:03:56,23:57:00
2017-06-01 00:03:29,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_251,40.644872,-74.017483,55 ST/3 AV,approaching,53,2017-06-01 00:03:56,24:05:50
2017-06-01 00:03:33,1,M2,168 ST/AUDUBON AV,40.840645,-73.938545,EAST VILLAGE 8 ST via 5 AV,40.730282,-73.990532,NYCT_3870,40.74089,-73.99006,5 AV/W 20 ST,< 1 stop away,193,2017-06-01 00:04:02,23:52:51
2017-06-01 00:03:25,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5139,40.690245,-73.987316,LIVINGSTON ST/HOYT ST,< 1 stop away,174,2017-06-01 00:04:15,23:58:38
2017-06-01 00:03:31,0,M34A-SBS,9 AV/W 42 ST,40.758617,-73.992638,WATERSIDE VIA 34 ST VIA 2 AV,40.737553,-73.973846,NYCT_5851,40.756669,-73.993913,W 34 ST/9 AV,< 1 stop away,464,2017-06-01 00:05:07,24:06:02
2017-06-01 00:03:30,0,B8,4 AV/95 ST,40.616104,-74.031143,BROWNSVILLE ROCKAWAY AV,40.656048,-73.907379,NYCT_399,40.628821,-73.980484,18 AV/47 ST,approaching,120,2017-06-01 00:03:56,24:14:50
2017-06-01 00:03:41,1,B26,WYCKOFF ST/PALMETTO ST,40.69915,-73.910477,DNTWN BKLYN TILLARY ST via HALSEY,40.693939,-73.990311,NYCT_7260,40.686261,-73.974316,FULTON ST/S ELLIOTT PL,approaching,103,2017-06-01 00:04:11,24:03:01
2017-06-01 00:03:38,0,Bx32,LINCOLN AV/E 138 ST,40.810955,-73.927139,KINGSBRIDGE VA HOSP,40.86739,-73.905464,NYCT_714,40.867352,-73.905387,VA HOSPITAL/VA HOSPITAL,at stop,5,2017-06-01 00:03:56,23:59:00
2017-06-01 00:03:27,1,X10,E 57 ST/3 AV,40.760429,-73.967674,PT RICHMOND via NARROWS RD via GANNON AV,40.633698,-74.129776,NYCT_2656,40.642433,-74.02014,gowanus py/6 av,0.6 miles away,1022,2017-06-01 00:04:29,24:02:56
2017-06-01 00:03:46,0,B14,EASTERN PY/UTICA AV,40.668537,-73.931236,SPRING CREEK STANLEY AV POSTAL FAC,40.664642,-73.863068,NYCT_7094,40.664865,-73.863265,POSTAL FACILITY RD/IN FRONT OF FACILITY,at stop,27,2017-06-01 00:03:56,23:49:00
2017-06-01 00:03:41,0,B62,BOERUM PL/SCHERMERHORN ST,40.690567,-73.989365,LI CITY QUEENS PLAZA,40.749702,-73.938965,NYCT_4548,40.743762,-73.950284,JACKSON AV/21 ST,< 1 stop away,211,2017-06-01 00:04:56,24:00:53
2017-06-01 00:03:24,1,Bx17,FORDHAM PLAZA/BUS TERMINAL,40.860229,-73.890968,PT MORRIS 135 ST,40.804848,-73.918556,NYCT_7738,40.804706,-73.918346,E 135 ST/ST ANN'S AV,at stop,22,2017-06-01 00:03:56,23:53:00
2017-06-01 00:03:42,1,Q12,NORTHERN BL/MORGAN ST,40.771725,-73.734749,FLUSHING MAIN ST STA via NORTHERN,40.758987,-73.831779,NYCT_4671,40.757886,-73.787956,NORTHERN BL/194 ST,at stop,5,2017-06-01 00:03:56,24:03:12
2017-06-01 00:03:27,1,Bx4,LANE AV/BENSON AV,40.840611,-73.843231,THE HUB 3 AV via WESTCHTR AV,40.816235,-73.915855,NYCT_4792,40.823567,-73.894048,WESTCHESTER AV/TIFFANY ST,approaching,64,2017-06-01 00:03:56,23:59:56
2017-06-01 00:03:39,0,M103,PARK ROW/BEEKMAN ST,40.711861,-74.006157,E HARLEM 125 ST via 3 AV,40.804268,-73.935303,NYCT_5716,40.717081,-73.995551,BOWERY/HESTER ST,approaching,35,2017-06-01 00:03:56,24:04:50
2017-06-01 00:03:41,0,M50,12 AV/W 42 ST ISLAND,40.762051,-74.000999,E 49 ST & 1 AV,40.753418,-73.966835,NYCT_4122,40.766535,-73.996989,W 50 ST/12 AV,approaching,53,2017-06-01 00:03:56,24:02:17
2017-06-01 00:03:29,0,B25,FRONT ST / YORK ST,40.702515,-73.991913,BWAY JCT ALABAMA AV via FULTON,40.67672,-73.900116,NYCT_7104,40.678892,-73.922021,FULTON ST/RALPH AV,approaching,65,2017-06-01 00:03:56,24:08:00
2017-06-01 00:03:29,0,B25,FRONT ST / YORK ST,40.702515,-73.991913,BWAY JCT ALABAMA AV via FULTON,40.67672,-73.900116,NYCT_7104,40.678892,-73.922021,FULTON ST/RALPH AV,approaching,65,2017-06-01 00:03:56,24:09:00
2017-06-01 00:03:28,0,M101,ASTOR PL/3 AV,40.729568,-73.990051,96 ST,40.785725,-73.948792,NYCT_5693,40.752573,-73.973132,3 AV/E 47 ST,< 1 stop away,213,NA,23:40:58
2017-06-01 00:03:37,0,Bx4,BERGEN AV/WESTCHESTER AV,40.816299,-73.915703,WESTCHTR SQ via WESTCHTR AV,40.840267,-73.843224,NYCT_5568,40.8265,-73.888351,WESTCHESTER AV/WHITLOCK AV,< 1 stop away,206,2017-06-01 00:04:40,23:55:26
2017-06-01 00:03:23,1,Bx1,RIVERDALE AV/W 231 ST,40.881187,-73.90934,MOTT HAVEN 136 ST via CONCOURSE,40.809654,-73.92836,NYCT_5685,40.881224,-73.90939,RIVERDALE AV/W 231 ST,at stop,0,NA,24:19:00
2017-06-01 00:03:46,0,Bx19,RIVERBANK ST PK/CULTURAL CTR,40.826702,-73.955475,BRONX PK via 149 ST via SOUTHRN,40.861202,-73.880676,NYCT_5942,40.824694,-73.891929,SOUTHERN BL/HOME ST,< 1 stop away,419,2017-06-01 00:05:36,24:00:11
2017-06-01 00:03:46,1,M11,BROADWAY/W 133 ST,40.818493,-73.95594,WEST VILL ABINGDON SQ via 9 AV,40.737072,-74.005867,NYCT_6756,40.818634,-73.955996,W 135 ST/BROADWAY,< 1 stop away,254,2017-06-01 00:04:56,24:02:00
2017-06-01 00:03:24,0,Q15A,ROOSEVELT AV/LAYOVER,40.758999,-73.831757,BEECHHURST POWELLS COVE BL via 10AV,40.793804,-73.797417,NYCT_7366,40.78525,-73.813661,150 ST/15 DR,at stop,28,2017-06-01 00:03:56,24:05:00
2017-06-01 00:03:30,0,Bx39,SOUNDVIEW AV/STEPHENS AV,40.807869,-73.852715,WAKEFIELD 241 ST via WHITE PLS RD,40.903309,-73.849922,NYCT_4718,40.822127,-73.858291,WHITE PLAINS RD/LAFAYETTE AV,at stop,0,NA,24:00:10
2017-06-01 00:03:49,1,Q44-SBS,BOSTON RD/E 180 ST,40.84256,-73.878334,SELECT BUS JAMAICA via MAIN ST,40.704933,-73.79332,NYCT_5999,40.717817,-73.817285,MAIN ST/UNION TP,at stop,0,NA,23:59:49
2017-06-01 00:03:29,1,Bx9,BROADWAY/W 262 ST,40.910107,-73.896729,WEST FARMS,40.840641,-73.879807,NYCT_5673,40.87791,-73.905509,BROADWAY/KIMBERLY PL,at stop,4,2017-06-01 00:03:56,24:01:49
2017-06-01 00:03:32,1,B26,WYCKOFF ST/PALMETTO ST,40.69915,-73.910477,DNTWN BKLYN TILLARY ST via HALSEY,40.693939,-73.990311,NYCT_4062,40.684522,-73.926215,HALSEY ST/PATCHEN AV,approaching,49,2017-06-01 00:03:56,24:05:00
2017-06-01 00:03:36,1,S78,ST GEORGE FERRY/S78,40.643654,-74.073471,BRICKTOWN MALL,40.53006,-74.226654,NYCT_8134,40.572353,-74.107953,HYLAN BL/BURBANK AV,approaching,61,2017-06-01 00:03:56,23:58:26
2017-06-01 00:03:30,1,B82,SEAVIEW AV/PENNSYLVANIA AV,40.642979,-73.878334,CNY ISLND STILLWELL AV via FLATLANDS AV,40.576973,-73.9814,NYCT_6597,40.610741,-73.955491,E 18 ST/AV P,approaching,62,2017-06-01 00:03:56,24:06:50
2017-06-01 00:03:52,0,B4,NARROWS AV/77 ST,40.631836,-74.036377,SHEEPSHEAD BAY KNAPP ST,40.586628,-73.931702,NYCT_230,40.606219,-73.98706,STILLWELL AV/KINGS HWY,at stop,4,2017-06-01 00:03:56,24:04:22
2017-06-01 00:03:52,0,Q48,DITMARS BL/102 ST,40.768661,-73.868286,FLUSHING MAIN ST STA,40.75959,-73.830284,NYCT_4185,40.760222,-73.827507,ROOSEVELT AV/MAIN ST,< 1 stop away,244,2017-06-01 00:06:23,23:52:00
2017-06-01 00:03:53,1,X17,E 57 ST/3 AV,40.760429,-73.967674,ARDEN HTS HUGENOT AV via NJ via DRMGOOLE,40.543644,-74.196716,NYCT_2575,40.615207,-74.15738,richmond av/sumner av,< 1 stop away,174,2017-06-01 00:04:01,24:01:48
2017-06-01 00:03:39,0,Bx28,VALENTINE AV/E 192 ST,40.864079,-73.894615,CO-OP CITY EARHART LA via GUNHILL,40.860828,-73.82267,NYCT_8341,40.873967,-73.879311,BAINBRIDGE AV/E 206 ST,approaching,102,2017-06-01 00:04:01,23:52:00
2017-06-01 00:03:25,1,Q54,JAMAICA AV/170 ST,40.707287,-73.789581,WILLAMSBURG BRIDGE PLZ,40.709476,-73.959534,NYCT_6577,40.711226,-73.948261,GRAND ST/LORIMER ST,approaching,87,2017-06-01 00:03:56,24:03:00
2017-06-01 00:03:45,0,Bx11,W 179 ST/BROADWAY,40.849113,-73.937752,W FARMS RD SOUTHERN BL,40.825272,-73.891426,NYCT_276,40.832508,-73.890994,JENNINGS ST/SOUTHERN BL,approaching,41,2017-06-01 00:03:56,23:58:07
2017-06-01 00:03:28,0,B2,E 16 ST/QUENTIN RD,40.607384,-73.957176,KINGS PLAZA,40.609428,-73.921753,NYCT_4574,40.612904,-73.935147,AV R/E 36 ST,at stop,5,2017-06-01 00:03:56,24:03:02
2017-06-01 00:03:24,0,B44,EMMONS AV/NOSTRAND AV,40.584026,-73.938438,WILLAMSBURG BRIDGE PLZ via NOSTRAND,40.709316,-73.959587,NYCT_5067,40.709417,-73.960149,WASHINGTON PLZ/WASHINGTON PLZ,approaching,50,2017-06-01 00:03:56,24:28:00
2017-06-01 00:03:33,1,Bx2,SEDGWICK AV/FT INDEPENDENCE ST,40.878632,-73.897751,MOTT HAVEN 136 ST via CONCOURSE,40.809654,-73.92836,NYCT_5700,40.821364,-73.9257,GRAND CONCOURSE/E 153 ST,at stop,28,2017-06-01 00:03:56,23:43:30
2017-06-01 00:03:49,0,Bx11,W 179 ST/BROADWAY,40.849113,-73.937752,W FARMS RD SOUTHERN BL,40.825272,-73.891426,NYCT_7662,40.842123,-73.924388,OGDEN AV/W 169 ST,< 1 stop away,225,2017-06-01 00:04:41,24:05:48
2017-06-01 00:03:36,1,B35,HEGEMAN AV/CHESTER AV,40.656216,-73.90815,SUNSET PARK 1 AV via CHURCH,40.656498,-74.012108,NYCT_7587,40.642979,-73.978999,CHURCH AV/MC DONALD AV,approaching,80,2017-06-01 00:04:02,24:06:00
2017-06-01 00:03:26,0,Bx19,RIVERBANK ST PK/CULTURAL CTR,40.826702,-73.955475,BRONX PK via 149 ST via SOUTHRN,40.861202,-73.880676,NYCT_5956,40.817287,-73.922371,E 149 ST/MORRIS AV,at stop,2,2017-06-01 00:03:56,24:02:07
2017-06-01 00:03:25,0,B12,PARKSIDE AV/OCEAN AV,40.654888,-73.961723,EAST NY ALABAMA AV,40.676819,-73.899658,NYCT_4825,40.672939,-73.909276,EAST NEW YORK AV/MOTHER GASTON BL,approaching,117,2017-06-01 00:03:56,24:05:20
2017-06-01 00:03:30,0,B38,TILLARY ST/CADMAN PZ E,40.696106,-73.990364,RIDGEWOOD CATALPA AV,40.700924,-73.904366,NYCT_4452,40.702254,-73.906752,SENECA AV/MADISON ST,approaching,48,2017-06-01 00:03:56,24:05:56
2017-06-01 00:03:40,1,M101,ST NICHOLAS AV/W 192 ST,40.856289,-73.928764,96 ST,40.785183,-73.951454,NYCT_5612,40.829054,-73.944813,AMSTERDAM AV/W 150 ST,approaching,129,2017-06-01 00:04:12,23:58:18
2017-06-01 00:03:45,1,B3,AV U/E 71 ST,40.619675,-73.907837,BENSONHURST HARWAY AV via AV U,40.592815,-73.992569,NYCT_5124,40.60044,-73.941761,AV U/NOSTRAND AV,at stop,5,2017-06-01 00:03:56,24:07:00
2017-06-01 00:02:05,0,B15,MARCUS GARVEY BL/BROADWAY,40.699722,-73.941513,JFK AIRPORT,40.646908,-73.779564,NYCT_6817,40.669059,-73.875665,DUMONT AV/FOUNTAIN AV,approaching,147,2017-06-01 00:03:56,24:01:52
2017-06-01 00:03:30,1,B15,JFK AIRPORT/TERMINAL 5 AirTrain STATION,40.647278,-73.779633,BED-STUY WOODHULL HOSP,40.699776,-73.941505,NYCT_7111,40.663732,-73.88884,NEW LOTS AV/WYONA ST,< 1 stop away,206,2017-06-01 00:04:16,23:54:08
2017-06-01 00:03:32,0,M10,8 AV/W  57 ST,40.766762,-73.982742,HARLEM 159 ST via 8 AV,40.831207,-73.935692,NYCT_6414,40.791478,-73.964819,CENTRAL PK W/W 96 ST,approaching,63,2017-06-01 00:03:56,24:00:18
2017-06-01 00:03:49,1,B17,EASTERN PY/UTICA AV,40.668537,-73.931236,CANARSIE SEAVIEW AV,40.638924,-73.881554,NYCT_6802,40.635639,-73.88671,SEAVIEW AV/E 102 ST,approaching,64,NA,24:00:07
2017-06-01 00:03:41,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5856,40.7729,-73.920855,HOYT AV/31 ST,< 1 stop away,417,2017-06-01 00:04:29,24:03:14
2017-06-01 00:03:41,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5856,40.7729,-73.920855,HOYT AV/31 ST,< 1 stop away,417,2017-06-01 00:04:29,24:08:32
2017-06-01 00:03:41,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5856,40.7729,-73.920855,HOYT AV/31 ST,< 1 stop away,417,2017-06-01 00:04:29,24:08:30
2017-06-01 00:03:46,0,Bx7,ST NICHOLAS AV/W 167 ST,40.840931,-73.939499,RIVERDALE 263 ST,40.912376,-73.902534,NYCT_4344,40.901848,-73.905967,RIVERDALE AV/W 254 ST,at stop,17,2017-06-01 00:03:56,24:04:40
2017-06-01 00:03:34,1,Bx7,RIVERDALE AV/W 263 ST,40.912365,-73.902702,WASHINGTON HTS 168 ST via BWAY,40.839813,-73.939743,NYCT_4365,40.845566,-73.938641,BROADWAY/W 174 ST,approaching,46,2017-06-01 00:03:56,23:45:42
2017-06-01 00:03:34,0,B67,MC DONALD AV/CORTELYOU RD,40.638161,-73.978935,DNTWN BKLYN SANDS ST via FLATBUSH AV,40.700253,-73.98703,NYCT_753,40.664409,-73.983651,7 AV/13 ST,approaching,42,2017-06-01 00:03:56,23:56:50
2017-06-01 00:03:37,1,M55,W 44 ST/6 AV,40.75589,-73.98278,SOUTH FERRY,40.70237,-74.013039,NYCT_5235,40.732865,-73.995902,E 8 ST/5 AV,approaching,123,2017-06-01 00:04:01,24:03:44
2017-06-01 00:03:25,1,B46,WASHINGTON PLZ/LANE3,40.709393,-73.959518,KINGS PLAZA via UTICA,40.609142,-73.92144,NYCT_4963,40.662665,-73.931546,UTICA AV/MIDWOOD ST,< 1 stop away,177,2017-06-01 00:04:03,24:00:44
2017-06-01 00:03:35,0,B46,FLATBUSH AV/KINGS PLAZA,40.609566,-73.921814,BRIDGE PLZ via UTICA,40.709404,-73.959564,NYCT_4603,40.709424,-73.959604,WASHINGTON PLZ/LANE3,at stop,3,2017-06-01 00:03:56,23:53:00
2017-06-01 00:03:24,1,X10,E 57 ST/3 AV,40.760429,-73.967674,PT RICHMOND via NARROWS RD via GANNON AV,40.633698,-74.129776,NYCT_2660,40.761108,-73.969562,E 57 ST/LEXINGTON AV,at stop,0,NA,23:51:05
2017-06-01 00:03:38,0,Bx6,RIVERSIDE DR/157-10 RIVERSIDE DR,40.836311,-73.948433,HUNTS POINT,40.810085,-73.876396,NYCT_275,40.829089,-73.937099,macombs/bridge ap,< 1 stop away,707,2017-06-01 00:06:02,24:04:11
2017-06-01 00:03:54,1,M102,W 146 ST/MALCOLM X BL,40.821152,-73.935974,96 ST,40.785183,-73.951454,NYCT_5545,40.806462,-73.946543,MALCOLM X BL/W 122 ST,approaching,113,2017-06-01 00:04:24,23:57:48
2017-06-01 00:03:25,0,B35,39 ST/1 AV,40.656456,-74.012245,BROWNSVILLE M GASTON BL via CHURCH,40.656345,-73.907188,NYCT_478,40.652536,-73.923647,CHURCH AV/KINGS HY,approaching,114,2017-06-01 00:04:15,24:03:00
2017-06-01 00:03:54,0,M104,W 41 ST/8 AV,40.75655,-73.99012,W HARLEM 129 ST via BWAY,40.814907,-73.955048,NYCT_3853,40.759389,-73.988223,8 AV/W 46 ST,at stop,9,2017-06-01 00:03:57,24:01:21
2017-06-01 00:03:42,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4989,40.666288,-73.883834,ASHFORD ST/NEW LOTS AV,< 1 stop away,158,2017-06-01 00:03:56,24:04:27
2017-06-01 00:03:37,1,Q1,BRADDOCK AV/CROSS ISLAND PY,40.725647,-73.725151,JAMAICA 165 ST TERM,40.707615,-73.79554,NYCT_6873,40.725634,-73.725051,AMBOY LA/SPRINGFIELD BL,0.9 miles away,1457,2017-06-01 00:06:34,24:00:00
2017-06-01 00:03:33,1,Bx1,RIVERDALE AV/W 231 ST,40.881187,-73.90934,MOTT HAVEN 136 ST via CONCOURSE,40.809654,-73.92836,NYCT_4751,40.826378,-73.922994,GRAND CONCOURSE/E 161 ST,at stop,14,2017-06-01 00:03:56,23:55:44
2017-06-01 00:03:37,1,Bx35,W FARMS RD/WESTCHESTER AV,40.824986,-73.891502,WASHINGTON HTS GW BRIDGE,40.848942,-73.936783,NYCT_707,40.833272,-73.91407,E 167 ST/GRAND CONCOURSE,< 1 stop away,307,2017-06-01 00:05:17,24:02:00
2017-06-01 00:03:25,0,B15,MARCUS GARVEY BL/BROADWAY,40.699722,-73.941513,JFK AIRPORT,40.646908,-73.779564,NYCT_7105,40.676254,-73.938471,DEAN ST/ALBANY AV,at stop,12,2017-06-01 00:03:56,23:57:06
2017-06-01 00:03:35,1,S53,4 AV/86 ST,40.622311,-74.028687,PT RICHMOND,40.640297,-74.131332,NYCT_7088,40.64003,-74.131797,RICHMOND TER/PARK AV #1,approaching,57,2017-06-01 00:03:56,24:02:00
2017-06-01 00:03:50,0,M23-SBS,12 AV/W 23 ST,40.748718,-74.00811,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,40.733006,-73.974594,NYCT_5930,40.748865,-74.006943,W 23 ST/11 AV,approaching,36,2017-06-01 00:04:07,24:01:22
2017-06-01 00:03:42,1,B24,GREENPOINT AV/MANHATTAN AV,40.730103,-73.954445,WILLIAMSBURG BRIDGE PLZ,40.709282,-73.959717,NYCT_4429,40.723633,-73.938811,MEEKER AV/KINGSLAND AV,< 1 stop away,224,2017-06-01 00:05:14,24:06:35
2017-06-01 00:03:43,1,Bx22,VALENTINE AV/E FORDHAM RD,40.862431,-73.895859,CASTLE HILL ZEREGA AV,40.814484,-73.847092,NYCT_5668,40.8145,-73.846979,CASTLE HILL AV/NORTON AV,at stop,0,NA,23:55:00
